1	2	6    26    126
2	6	7    26    126
2	7	26    27    126
6	7	26    31    126
7	26	27    31    126
7	27	31    32    126
2	3	7    27    127
2	7	27    126    127
3	7	8    27    127
3	8	27    28    127
7	8	27    32    127
7	27	32    126    127
8	27	28    32    127
8	28	32    33    127
3	4	8    28    128
3	8	28    127    128
4	8	9    28    128
4	9	28    29    128
8	9	28    33    128
8	28	33    127    128
9	28	29    33    128
9	29	33    34    128
4	5	9    29    129
4	9	29    128    129
5	9	10    29    129
5	10	29    30    129
9	10	29    34    129
9	29	34    128    129
10	29	30    34    129
10	30	34    35    129
5	10	30    129    130
10	30	35    129    130
6	7	11    31    131
6	7	31    126    131
7	11	12    31    131
7	12	31    32    131
7	31	32    126    131
11	12	31    36    131
12	31	32    36    131
12	32	36    37    131
7	32	126    127    131
7	8	12    32    132
7	8	32    127    132
8	12	13    32    132
8	13	32    33    132
8	32	33    127    132
12	13	32    37    132
13	32	33    37    132
13	33	37    38    132
8	33	127    128    132
7	12	32    131    132
7	32	127    131    132
12	32	37    131    132
8	9	13    33    133
8	9	33    128    133
9	13	14    33    133
9	14	33    34    133
9	33	34    128    133
13	14	33    38    133
14	33	34    38    133
14	34	38    39    133
9	34	128    129    133
8	13	33    132    133
8	33	128    132    133
13	33	38    132    133
9	10	14    34    134
9	10	34    129    134
10	14	15    34    134
10	15	34    35    134
10	34	35    129    134
14	15	34    39    134
15	34	35    39    134
15	35	39    40    134
10	35	129    130    134
9	14	34    133    134
9	34	129    133    134
14	34	39    133    134
10	15	35    134    135
10	35	130    134    135
15	35	40    134    135
11	12	16    36    136
11	12	36    131    136
12	16	17    36    136
12	17	36    37    136
12	36	37    131    136
16	17	36    41    136
17	36	37    41    136
17	37	41    42    136
12	37	131    132    136
12	13	17    37    137
12	13	37    132    137
13	17	18    37    137
13	18	37    38    137
13	37	38    132    137
17	18	37    42    137
18	37	38    42    137
18	38	42    43    137
13	38	132    133    137
12	17	37    136    137
12	37	132    136    137
17	37	42    136    137
13	14	18    38    138
13	14	38    133    138
14	18	19    38    138
14	19	38    39    138
14	38	39    133    138
18	19	38    43    138
19	38	39    43    138
19	39	43    44    138
14	39	133    134    138
13	18	38    137    138
13	38	133    137    138
18	38	43    137    138
14	15	19    39    139
14	15	39    134    139
15	19	20    39    139
15	20	39    40    139
15	39	40    134    139
19	20	39    44    139
20	39	40    44    139
20	40	44    45    139
15	40	134    135    139
14	19	39    138    139
14	39	134    138    139
19	39	44    138    139
15	20	40    139    140
15	40	135    139    140
20	40	45    139    140
16	17	21    41    141
16	17	41    136    141
17	21	22    41    141
17	22	41    42    141
17	41	42    136    141
21	22	41    46    141
22	41	42    46    141
22	42	46    47    141
17	42	136    137    141
17	18	22    42    142
17	18	42    137    142
18	22	23    42    142
18	23	42    43    142
18	42	43    137    142
22	23	42    47    142
23	42	43    47    142
23	43	47    48    142
18	43	137    138    142
17	22	42    141    142
17	42	137    141    142
22	42	47    141    142
18	19	23    43    143
18	19	43    138    143
19	23	24    43    143
19	24	43    44    143
19	43	44    138    143
23	24	43    48    143
24	43	44    48    143
24	44	48    49    143
19	44	138    139    143
18	23	43    142    143
18	43	138    142    143
23	43	48    142    143
19	20	24    44    144
19	20	44    139    144
20	24	25    44    144
20	25	44    45    144
20	44	45    139    144
24	25	44    49    144
25	44	45    49    144
25	45	49    50    144
20	45	139    140    144
19	24	44    143    144
19	44	139    143    144
24	44	49    143    144
20	25	45    144    145
20	45	140    144    145
25	45	50    144    145
21	22	46    141    146
22	46	47    141    146
22	47	141    142    146
22	23	47    142    147
22	47	142    146    147
23	47	48    142    147
23	48	142    143    147
23	24	48    143    148
23	48	143    147    148
24	48	49    143    148
24	49	143    144    148
24	25	49    144    149
24	49	144    148    149
25	49	50    144    149
25	50	144    145    149
25	50	145    149    150
26	27	31    51    151
26	27	31    126    151
27	31	32    51    151
27	31	32    126    151
27	32	51    52    151
31	32	51    56    151
32	51	52    56    151
32	52	56    57    151
27	32	126    127    151
31	32	126    131    151
32	126	127    131    151
32	127	131    132    151
27	28	32    52    152
27	28	32    127    152
28	32	33    52    152
28	32	33    127    152
28	33	52    53    152
32	33	52    57    152
33	52	53    57    152
33	53	57    58    152
28	33	127    128    152
32	33	127    132    152
33	127	128    132    152
33	128	132    133    152
27	32	52    151    152
27	32	127    151    152
32	52	57    151    152
32	127	132    151    152
28	29	33    53    153
28	29	33    128    153
29	33	34    53    153
29	33	34    128    153
29	34	53    54    153
33	34	53    58    153
34	53	54    58    153
34	54	58    59    153
29	34	128    129    153
