fundraiser_name,fundraiser_type,organizations,public_numbers,start_date,end_date,address,status,expected_donation,credited,org_type,,
Penn State Thespian Society x Breakfast for Dinner Benefitting THON,Benefit Dinner,Thespian Society at Penn State Thespians,136,1/25/2024,1/25/2024,Hannah Recchiuti-Quier:  202,Approved,100,200,General,,
Pasta Dinner Benefitting THON,Benefit Dinner,Men's Water Polo Club  & Women's Water Polo Club ,127 & 445,1/25/2024,1/25/2024,Water Polo Team Members House: 239 S BARNARD ST  STATE COLLEGE PA 16801,Approved,200,200,General,,
Jersey Mikes Benefitting THON,Benefit Dinner,York,170,1/29/2024,2/3/2024,Jersey Mikes: 1401 KENNETH RD  YORK PA 17408,Approved,500,,Commonwealth,,
Axis Taco Dinner Benefitting THON,Benefit Dinner,Axis ,1747,2/1/2024,2/1/2024,Faith United Church of Christ:     ,Approved,300,306,Special Interest,,
Sapphire Pasta Dinner Benefitting THON,Benefit Dinner,Sapphire Leadership Program ,1543,2/1/2024,2/1/2024,University Towers: 458 E COLLEGE AVE Apt 406 STATE COLLEGE PA 16801,Approved,400,290,General,,
Bingo and Dinner Night with Behrend Benefitting THON,Benefit Dinner,Behrend,73,2/3/2024,2/3/2024,Brookside Fire Station:     ,Approved,5000,1956,Commonwealth,,
GSS Pasta Dinner Benefitting THON,Benefit Dinner,Gamma Sigma Sigma ,46,2/3/2024,2/3/2024,Lily Pershica: 240 S BARNARD ST  STATE COLLEGE PA 16801,Approved,100,199,Greek,,
Italian Student Society Pasta Dinner Benefitting THON,Benefit Dinner,Italian Student Society ISS,1030,2/4/2024,2/4/2024,Grace Lutheran Church: 205 S GARNER ST  STATE COLLEGE PA 16801,Approved,150,276,NewMC,,
Alpha Kappa Psi Pasta Dinner Benefitting THON,Benefit Dinner,Alpha Kappa Psi ,61,2/4/2024,2/4/2024,Rachel Chang: 121 W FAIRMOUNT AVE apt 14 STATE COLLEGE PA 16801,Approved,200,413,General,,
Phi Kappa Psi & Alpha Omicron Pi Banquet Benefitting THON,Benefit Dinner,Alpha Omicron Pi AOII & Phi Kappa Psi,8 & 32,2/4/2024,2/4/2024,Axemann Brewery: 2042 AXEMANN RD STE 125  BELLEFONTE PA 16823,Canceled,6000,,Greek,,
Penn State Thespian Society x Grilled Cheese and Soup Benefitting THON,Benefit Dinner,Thespian Society at Penn State Thespians,136,2/6/2024,2/6/2024,Hannah Recchiuti-Quier:  202,Approved,100,191,General,,
Penn State Baseball Club Welcome Dinner (Banquet) Benefitting THON,Benefit Dinner,Baseball Club Club Baseball,1780,2/6/2024,2/7/2024,The Graduate Hotel: 125 S ATHERTON ST  STATE COLLEGE PA 16801,Action Needed,200,,General,,
Penn State DuBois Send Off Dinner and Hair Auction Benefitting THON,Benefit Dinner,Dubois,166,2/7/2024,2/7/2024,Penn State DuBois:     ,Approved,10000,1797.81,Commonwealth,,
Pasta Dinner Benefitting THON,Benefit Dinner,Women's Ice Hockey Club ,266,2/8/2024,2/8/2024,Courtney Bove: 630 W BEAVER AVE  STATE COLLEGE PA 16801,Approved,200,160,General,,
Italian Night Benefitting THON,Benefit Dinner,American Institute of Architecture Students AIAS,389,2/8/2024,2/8/2024,Liv Schneider's Apartment: 221 S BARNARD ST #33 STATE COLLEGE PA 16801,Approved,100,80,General,,
ADPi Food Fundraiser Benefitting THON,Benefit Dinner,Alpha Delta Pi ADPi,20,2/8/2024,2/8/2024,200 E. Beaver Avenue:,Approved,100,85,Greek,,
Sigma Sigma Sigma x Zeta Beta Tau: GALA Benefitting THON,Benefit Dinner,Sigma Sigma Sigma Tri Sigma & Zeta Beta Tau ZBT,33 & 1476,2/9/2024,2/9/2024,ZBT House: 429 E HAMILTON AVE  STATE COLLEGE PA 16801,Approved,500,890,Greek,,
Phi Sigma Rho and Chi Phi Breakfast Dinner Benefitting THON,Benefit Dinner,Chi Phi & Phi Sigma Rho Phi Rho,81 & 160,2/9/2024,2/9/2024,Chi Phi House: 360 E HAMILTON AVE  STATE COLLEGE PA 16801,Approved,100,355,Greek,,
Phi Sigma Pi Spaghetti Delivery Benefitting THON,Benefit Dinner,Phi Sigma Pi PSP,60,2/10/2024,2/10/2024,Off-campus apartment: 400 S ALLEN ST Apartment A STATE COLLEGE PA 16801,Canceled,100,,General,,
Delta Sigma Pi Superbowl Watch Party Benefitting THON,Benefit Dinner,Delta Sigma Pi ,85,2/11/2024,2/11/2024,213 S Burrowes St:,Approved,150,240,General,,
"School of Hospitality Management Eta Sigma Delta ""Pasta Dinner"" Benefitting THON",Benefit Dinner,School of Hospitality Management THON Committee  SHM THON,139,2/12/2024,2/12/2024,Cafe Laura:     ,Approved,300,200,General,,
Pasta Dinner Benefitting THON,Benefit Dinner,Delta Zeta DZ & Sigma Pi,39 & 36,2/13/2024,2/13/2024,Sigma Pi House: 303 FRATERNITY ROW  STATE COLLEGE PA 16801,Approved,500,1028,Greek,,
Sigma Kappa and Phi Gamma Delta Pizza Dinner Benefitting THON,Benefit Dinner,Phi Gamma Delta & Sigma Kappa,35 & 19,2/13/2024,2/13/2024,Wartik Lab 111:,Approved,500,511,Greek,,
AGR and Phi Sig Pasta Dinner Benefitting THON,Benefit Dinner,Alpha Gamma Rho AGR & Phi Sigma Sigma Phi Sig,187 & 294,2/15/2024,2/15/2024,Alpha Gamma Rho: 322 FRATERNITY ROW  STATE COLLEGE PA 16801,Canceled,1000,,Greek,,
Car Wash Fundraiser Benefitting THON,Business Sponsorship,Altoona,165,8/26/2023,8/26/2023,Professionals Auto Body: 1109 PLANK RD  DUNCANSVILLE PA 16635,Canceled,500,,Commonwealth,,
DG x DU Headshots Benefitting THON,Business Sponsorship,Delta Gamma & Delta Upsilon International Fraternity Delta Upsilon,1544 & 37,9/10/2023,9/10/2023,Old Main Lawn:     ,Canceled,150,,Greek,,
Car Wash Fundraiser Benefitting THON,Business Sponsorship,Altoona,165,9/16/2023,9/16/2023,Professionals Auto Body: 1109 PLANK RD  DUNCANSVILLE PA 16635,Approved,500,0,Commonwealth,,
Headshot Fundrasier Benefitting THON,Business Sponsorship,Delta Gamma & Delta Upsilon International Fraternity Delta Upsilon,1544 & 37,9/24/2023,9/24/2023,Joab L. Thomas Building:     ,Approved,100,120,Greek,,
Connections Benefitting THON,Business Sponsorship,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,9/27/2023,9/27/2023,Connections: 130 S ALLEN ST  STATE COLLEGE PA 16801,Approved,100,0,Greek,,
Get Air Benefitting THON,Business Sponsorship,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,9/28/2023,9/28/2023,Get Air: 2252 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,200,0,Greek,,
Wilkes-Barre Boscov's Fundraiser Benefitting THON,Business Sponsorship,Wilkes-Barre,76,9/28/2023,10/11/2023,Boscov's: 15 S MAIN ST  WILKES BARRE PA 18701,Approved,1000,700,Commonwealth,,
Connections Fundraiser for Fashion Society at Penn State Benefitting THON,Business Sponsorship,Fashion Society at Penn State FSPS,2593,10/3/2023,10/3/2023,Connections: 130 S ALLEN ST  STATE COLLEGE PA 16801,Approved,50,0,General,,
Boscov's Friends Helping Friends Benefitting THON,Business Sponsorship,Hazleton,74,10/5/2023,10/18/2023,Boscov's in Hazleton: 105 LAUREL MALL  HAZLE TOWNSHP PA 18202,Approved,200,302,Commonwealth,,
Hundred Acre Manor Kid's Day Benefitting THON,Business Sponsorship,Greater Allegheny,163,10/15/2023,10/15/2023,Hundred Acres Manor: 30 CORRIGAN DR  BETHEL PARK PA 15102,Approved,500,1000,Commonwealth,,
Hundred Acre Manor Scare Actors Benefitting THON,Business Sponsorship,Greater Allegheny,163,10/21/2023,10/26/2023,Hundred Acres Manor: 30 CORRIGAN DR  BETHEL PARK PA 15102,Approved,200,1000,Commonwealth,,
Car Wash Fundraiser Benefitting THON,Business Sponsorship,Altoona,165,10/21/2023,10/21/2023,NAPA Auto Parts: 213 UNION AVE STE A  ALTOONA PA 16602,Canceled,300,,Commonwealth,,
Trilogy Connections Fundraiser Benefitting THON,Business Sponsorship,Trilogy ,10,10/24/2023,10/24/2023,Connections: 130 S ALLEN ST  STATE COLLEGE PA 16801,Approved,250,0,Special Interest,,
Long Sleeve Ts Benefitting THON,Merchandise Sale,Nathan Leo and Noah Chup (2024),3072,11/5/2023,11/8/2023,HUB Store:     ,Denied,300,,Independent Couple,,
Tan Luxe Fundraiser Benefitting THON,Business Sponsorship,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,11/27/2023,11/28/2023,Tan Luxe Home Studio: 1013 S ALLEN ST APT 405  STATE COLLEGE PA 16801,Approved,100,72,Greek,,
Kappa Delta x Surf Tans Fundraiser Benefitting THON,Business Sponsorship,Kappa Delta KD,26,11/27/2023,11/29/2023,Dani Bocchieri's Apartment: 131 HIESTER ST  STATE COLLEGE PA 16801,Approved,150,90,Greek,,
Epsilon Sigma Alpha X Kendra Scott Benefitting THON,Business Sponsorship,Epsilon Sigma Alpha ESA,562,12/1/2023,12/3/2023,,Approved,50,0,General,,
Phi Beta Lambda x Kendra Scott Benefitting THON,Business Sponsorship,Phi Beta Lambda,1029,12/1/2023,12/2/2023,,Approved,100,0,General,,
PGM & Equestrian Bowl A THON Benefitting THON,Business Sponsorship,English Equestrian Club  & Professional Golf Management,314 & 381,12/3/2023,12/3/2023,Northland Bowl & Sports Center: 1521 MARTIN ST  STATE COLLEGE PA 16803,Approved,100,,General,,
Phi Sigma Sigma x Tan Luxe Benefitting THON,Business Sponsorship,Phi Sigma Sigma Phi Sig,294,12/4/2023,12/5/2023,Tan Luxe State College: 1013 S ALLEN ST #405 STATE COLLEGE PA 16801,Approved,200,56,Greek,,
Wilkes-Barre McDonalds Fries Benefitting THON,Business Sponsorship,Wilkes-Barre,76,12/5/2023,12/18/2023,McDonalds: 913 WYOMING AVE  WYOMING PA 18644,Approved,3000,1300,Commonwealth,,
Sigma Phi Epsilon and Pi phi Harpers Tie-A-THON Benefitting THON,Business Sponsorship,Pi Beta Phi Pi Phi & Sigma Phi Epsilon,18 & 11,12/6/2023,12/6/2023,Harpers: 224 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,780,0,Greek,,
Connections x Gamma Phi Beta Benefitting THON,Business Sponsorship,Gamma Phi Beta,16,12/6/2023,12/6/2023,Connections Clothing: 130 S ALLEN ST  STATE COLLEGE PA 16801,Approved,100,0,Greek,,
Delta Sigma Pi Myra Ave Jewelry Fundraiser Benefitting THON,Business Sponsorship,Delta Sigma Pi ,85,12/11/2023,12/12/2023,,Approved,50,15.12,General,,
Phi Beta Lambda x ACAC Ribbon Sale Benefitting THON,Business Sponsorship,Phi Beta Lambda,1029,12/29/2023,12/29/2023,ACAC: 1130 MCDERMOTT DR  WEST CHESTER PA 19380,Approved,200,288,General,,
Phi Beta Lambda x Planet Smoothie Ribbon Sales Benefitting THON,Business Sponsorship,Phi Beta Lambda,1029,12/30/2023,12/30/2023,Planet Smoothie: 186 W STATE ST  DOYLESTOWN PA 18901,Approved,200,93,General,,
Madison X Ava Dare Bingo Board Benefitting THON,Item Sale,Madison Ekstrom and Ava Paulucci (2024),3222,11/6/2023,11/6/2023,,Denied,55,,Independent Couple,,
Phi Beta Lambda x Panda Express Food Fundraiser Benefitting THON,Business Sponsorship,Phi Beta Lambda,1029,1/12/2024,1/12/2024,HUB Panda:     ,Approved,100,0,General,,
Volé Sweatset Sale Benefitting THON,Business Sponsorship,Volé,126,1/14/2024,1/27/2024,,Canceled,150,,General,,
Alpha Kappa Psi F45 Benefitting THON,Business Sponsorship,Alpha Kappa Psi ,61,1/15/2024,1/15/2024,F45: 232 E COLLEGE AVE  STATE COLLEGE PA 16801,Denied,200,,General,,
2000 Degrees SWE Benefitting THON,Business Sponsorship,Society of Women Engineers SWE,57,1/15/2024,1/18/2024,2000 Degrees: 202 W COLLEGE AVE  STATE COLLEGE PA 16801,Approved,60,0,General,,
Ava Perock x Tiffany Mendoza Vibe Coffee Fundraiser Benefitting THON,Restaurant Fundraiser,Ava Perock and Tiffany Mendoza (2024),3160,11/6/2023,11/6/2023,Vibe Coffee Company: 401 W BEAVER AVE  STATE COLLEGE PA 16801,Approved,100,,Independent Couple,,
Alpha Kappa Psi F45 Benefitting THON,Business Sponsorship,Alpha Kappa Psi ,61,1/22/2024,1/22/2024,F45: 232 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,250,0,General,,
Trilogy and Raising Canes Benefitting THON,Business Sponsorship,Trilogy ,10,1/24/2024,1/24/2024,Raising Canes: 228 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,150,,Special Interest,,
Phi Beta Lambda x Saxby Food Fundraiser Benefitting THON,Business Sponsorship,Phi Beta Lambda,1029,1/25/2024,1/25/2024,Smeal Saxby's:     ,Approved,100,607.18,General,,
Wilkes-Barre Texas Roadhouse Benefitting THON,Business Sponsorship,Wilkes-Barre,76,1/27/2024,1/27/2024,Texas Roadhouse: 465 WILKES BARRE TOWNSHIP BLVD  WILKES BARRE PA 18702,Approved,1000,284,Commonwealth,,
Trilogy 2000 Degrees Fundraiser Benefitting THON,Business Sponsorship,Trilogy ,10,1/31/2024,1/31/2024,2000 Degrees: 202 W COLLEGE AVE  STATE COLLEGE PA 16801,Approved,150,0,Special Interest,,
Hot Pilates Benefitting THON,Business Sponsorship,Gamma Phi Beta,16,2/4/2024,2/4/2024,PYP Studio: 1748 S ATHERTON ST  STATE COLLEGE PA 16801,Approved,100,114,Greek,,
Dunk for a Cause with Atlas Benefitting THON,Carnival,Atlas ,312,8/16/2023,8/16/2023,Outside of The Stonehouse: 343 PINE ST # 2  WILLIAMSPORT PA 17701,Approved,500,430,Special Interest,,
Dunk an SAE Benefitting THON,Carnival,Alpha Delta Pi ADPi & Sigma Alpha Epsilon SAE,20 & 209,9/1/2023,9/1/2023,JD King: 200 E BEAVER AVE  STATE COLLEGE PA 16801,Approved,400,450.5,Greek,,
DG x DU Dunk Tank Benefitting THON,Carnival,Delta Gamma & Delta Upsilon International Fraternity Delta Upsilon,1544 & 37,9/4/2023,9/4/2023,Delta Upsilon Fraternity Yard: 229 LOCUST LN  STATE COLLEGE PA 16801,Approved,350,875,Greek,,
Sigma Sigma Sigma x Zeta Beta Tau: Back-to-School BBQ Benefitting THON,Carnival,Sigma Sigma Sigma Tri Sigma & Zeta Beta Tau ZBT,33 & 1476,9/4/2023,9/4/2023,429 E Hamilton Avenue:,Approved,500,1680,Greek,,
Field Games- ATO x ZTA Benefitting THON,Carnival,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,9/6/2023,9/6/2023,Alpha Tau Omega: 321 E FAIRMOUNT AVE  STATE COLLEGE PA 16801,Approved,100,310,Greek,,
Alpha Xi Delta and Lambda Chi Alpha Whipped Cream for a Dream Benefitting THON,Carnival,Alpha Xi Delta AXID & Lambda Chi Alpha,31 & 5,9/11/2023,9/11/2023,Hetzel Union Building:     ,Approved,100,736,Greek,,
ADP X DPHIE Pie In the Face Benefitting THON,Carnival,Alpha Delta Phi Delta House & Delta Phi Epsilon DPhiE,1073 & 2090,9/13/2023,9/13/2023,Hetzel Union Building Lawn:     ,Approved,125,125.86,Greek,,
Aphi AEPi Dunk Tank Event Benefitting THON,Carnival,Alpha Epsilon Pi AEPi & Alpha Phi,12 & 118,9/13/2023,9/13/2023,321 Fraternity Row:,Approved,500,572,Greek,,
Sigma Sigma Sigma X Zeta Beta Tau Pie Event Benefitting THON,Carnival,Sigma Sigma Sigma Tri Sigma & Zeta Beta Tau ZBT,33 & 1476,9/14/2023,9/14/2023,HUB-Robeson Center:     ,Approved,400,623,Greek,,
Dunk Tank Fundraiser Benefitting THON,Carnival,Acacia & Gamma Phi Beta,16 & 7,9/20/2023,9/20/2023,Acacia Fraternity: 234 LOCUST LN  STATE COLLEGE PA 16801,Approved,300,0,Greek,,
SAE ADPi Carnival Benefitting THON,Carnival,Alpha Delta Pi ADPi & Sigma Alpha Epsilon SAE,20 & 209,9/22/2023,9/22/2023,Sigma Alpha Epsilon: 200 E BEAVER AVE  STATE COLLEGE PA 16801,Approved,800,220,Greek,,
SDT & Phi Who Carnival Benefitting THON,Carnival,Phi Kappa Theta & Sigma Delta Tau,24 & 49,9/28/2023,9/28/2023,Phi Kappa Theta Fraternity House: 338 E FAIRMOUNT AVE  STATE COLLEGE PA 16801,Approved,300,303,Greek,,
Phi Kappa Tau & Whiplash Dunk Tank Fundraiser Benefitting THON,Carnival,Phi Kappa Tau PKT/ Phi Tau  & Whiplash Dance Team,47 & 215,10/6/2023,10/6/2023,Phi Kappa Tau: 408 E FAIRMOUNT AVE  STATE COLLEGE PA 16801,Approved,400,253,Greek,,
Volé x Alpha Sigma Phi Carnival Benefitting THON,Carnival,Alpha Sigma Phi & Volé,126 & 34,10/6/2023,10/6/2023,Alpha Sigma Phi House: 420 E PROSPECT AVE  STATE COLLEGE PA 16801,Approved,200,760,Greek,,
Pie an Alpha Chi Benefitting THON,Carnival,Alpha Chi Rho AXP,116,10/13/2023,10/13/2023,Hub Back Sidewalk Grass Pad:     ,Approved,300,107,Greek,,
Kappa Delta & Beta Sigma Beta X Pie a Bimmie / KD Benefitting THON,Carnival,Beta Sigma Beta & Kappa Delta KD,68 & 26,10/18/2023,10/18/2023,HUB Lawn: HUB-Robeson Center  University Park PA 16802,Approved,200,309,Greek,,
Haunted Crow House Benefitting THON,Carnival,Alpha Chi Rho AXP & Club Gymnastics Club Gym,116 & 161,10/23/2023,10/24/2023,Alpha Chi Rho (AXP) Chapter House: 425 LOCUST LN  STATE COLLEGE PA 16801,Approved,1500,357,Greek,,
ADP X DPHIE Dunk Tank Benefitting THON,Carnival,Alpha Delta Phi Delta House & Delta Phi Epsilon DPhiE,1073 & 2090,10/27/2023,10/27/2023,Alpha Delta Phi: 225 E FOSTER AVE  STATE COLLEGE PA 16801,Approved,200,444,Greek,,
Fall Festival Benefitting THON,Carnival,Greater Allegheny,163,11/12/2023,11/12/2023,Penn State Greater Allegheny Student Community Center (SCC):     ,Canceled,200,,Commonwealth,,
Winter Festival Benefitting THON,Carnival,Blue & White Society BWS ,53,12/2/2023,12/2/2023,The Hintz Family Alumni Center:     ,Approved,100,115,General,,
Hillel Carnival Benefitting THON,Carnival,Hillel ,50,1/19/2024,2/1/2024,Hillel Building:     ,Approved,100,878,General,,
Game Carnival: Student Red Cross Club Benefitting THON,Carnival,Student Red Cross Club SRCC,90,2/12/2024,2/15/2024,The HUB Lawn:     ,Approved,60,,NewMC,,
Yard Signs Benefitting THON,Coin Collection,World Campus,1318,7/17/2023,7/30/2023,,Denied,100,,Commonwealth,,
Club Cross Country August 14th LI Ribbon Sale Benefitting THON,Coin Collection,Club Cross Country XC,305,8/14/2023,8/14/2023,Fort Salonga Market IGA: 10 FORT SALONGA RD STE 15  FORT SALONGA NY 11768,Approved,200,622.86,General,,
Test 2023 Benefitting THON,Coin Collection,R&R Test Org,777,8/15/2023,8/16/2023,online:     ,Approved,5,,General,,
Club Cross Country August 13th Ribbon Sale Benefitting THON,Coin Collection,Club Cross Country XC,305,8/16/2023,8/16/2023,Bucks County Running Co.: 25 W STATE ST  DOYLESTOWN PA 18901,Approved,75,113.07,General,,
Club Cross Country August 15th Ribbon Sale Benefitting THON,Coin Collection,Club Cross Country XC,305,8/18/2023,8/18/2023,Bryn Mawr Running Co.: 1 W FRONT ST  MEDIA PA 19063,Approved,25,131.48,General,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,8/26/2023,8/26/2023,Naked Egg: 320 PINE GROVE RD  STATE COLLEGE PA 16801,Canceled,200,,Greek,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,8/27/2023,8/27/2023,Waffle Shop: 1229 N ATHERTON ST  STATE COLLEGE PA 16803,Approved,200,525.53,Greek,,
Rita's Italian Ice at TE Connectivity Benefitting THON,Coin Collection,World Campus,1318,8/30/2023,8/30/2023,TE Connectivity: 2800 FULLING MILL RD  MIDDLETOWN PA 17057,Approved,50,120,Commonwealth,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,9/2/2023,9/2/2023,Naked Egg: 320 PINE GROVE RD  STATE COLLEGE PA 16801,Canceled,200,,Greek,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,9/3/2023,9/3/2023,Waffle Shop: 1229 N ATHERTON ST  STATE COLLEGE PA 16803,Approved,200,596.41,Greek,,
Altoona Curve Baseball Ribboning Fundraiser Benefitting THON,Coin Collection,Altoona,165,9/8/2023,9/9/2023,Altoona Curve Baseball: 1000 PARK AVE  ALTOONA PA 16602,Approved,200,356,Commonwealth,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,9/9/2023,9/9/2023,Naked Egg: 320 PINE GROVE RD  STATE COLLEGE PA 16801,Canceled,200,,Greek,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,9/10/2023,9/10/2023,Waffle Shop: 1229 N ATHERTON ST  STATE COLLEGE PA 16803,Approved,200,406.57,Greek,,
Ski Club Participating in Happy Quarters Benefitting THON,Coin Collection,Ski Club (Recreational) PSU Ski Club,392,9/12/2023,9/12/2023,Willard 064:,Approved,5,18.25,General,,
Altoona Greenbean Ribboning Fundraiser Benefitting THON,Coin Collection,Altoona,165,9/16/2023,9/16/2023,Greenbean Coffee House: 715 6TH AVE  ALTOONA PA 16602,Approved,200,263.51,Commonwealth,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,9/16/2023,9/16/2023,Naked Egg: 320 PINE GROVE RD  STATE COLLEGE PA 16801,Canceled,100,,Greek,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,9/17/2023,9/17/2023,Waffle Shop: 1610 W COLLEGE AVE  STATE COLLEGE PA 16801,Approved,100,241,Greek,,
Tapestry Dance Company Happy Quarters #1 Benefitting THON,Coin Collection,Tapestry Dance Company ,142,9/18/2023,9/26/2023,White Building:     ,Approved,10,6.46,General,,
Servestate x Pie A Member Benefitting THON,Coin Collection,Servestate: Students For Philanthropy ServeState,546,9/20/2023,9/20/2023,Hub Lawn:     ,Approved,100,183,General,,
Tapestry Dance Company Benefitting THON,Coin Collection,Tapestry Dance Company ,142,9/23/2023,9/23/2023,The Student Book Store: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,200,437.43,General,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,9/23/2023,9/23/2023,Naked Egg: 320 PINE GROVE RD  STATE COLLEGE PA 16801,Canceled,100,,Greek,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,9/24/2023,9/24/2023,Naked Egg: 320 PINE GROVE RD  STATE COLLEGE PA 16801,Approved,100,397.1,Greek,,
Forensic Science Club Penny Wars Benefitting THON,Coin Collection,Forensic Science Club at Penn State FRNSC Club,729,9/25/2023,9/26/2023,"Thomas Building Room 104: Thomas Building, Shortlidge Rd, University Park, PA 16802:",Approved,25,23.08,General,,
Altoona Greenbean Ribboning Fundraiser Benefitting THON,Coin Collection,Altoona,165,9/29/2023,9/29/2023,Greenbean Coffee House: 715 6TH AVE  ALTOONA PA 16602,Approved,200,66,Commonwealth,,
Club Cross Country September 30th Ribbon Sales Benefitting THON,Coin Collection,Club Cross Country XC,305,9/30/2023,9/30/2023,The Waffle Shop Downtown: 364 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,120,526.65,General,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,10/1/2023,10/1/2023,Waffle Shop: 1229 N ATHERTON ST  STATE COLLEGE PA 16803,Approved,100,387.9,Greek,,
Taco Dinner Benefitting THON,Benefit Dinner,Mary Haddad and Olivia Lang (2024),3175,11/7/2023,11/7/2023,Pugh: 150 E BEAVER AVE Apt 405 STATE COLLEGE PA 16801,Approved,200,170,Independent Couple,,
Penn State Harrisburg Ribbon Sale Benefitting THON,Coin Collection,Harrisburg,164,10/2/2023,10/2/2023,Fox Crest Farm: 1000 BOMGARDNER LN  ANNVILLE PA 17003,Denied,150,,Commonwealth,,
Club Cross Country Coin Wars Benefitting THON,Coin Collection,Club Cross Country XC,305,10/7/2023,10/13/2023,Rec Hall:     ,Approved,100,350.98,General,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,10/7/2023,10/7/2023,Naked Egg: 320 PINE GROVE RD  STATE COLLEGE PA 16801,Approved,100,48,Greek,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,10/8/2023,10/8/2023,Waffle Shop: 1229 N ATHERTON ST  STATE COLLEGE PA 16803,Approved,100,233.33,Greek,,
ServeState Fall BBQ Benefitting THON,Coin Collection,Servestate: Students For Philanthropy ServeState,546,10/8/2023,10/8/2023,Claudia McCabe's House (member): 718 S PUGH ST  STATE COLLEGE PA 16801,Approved,150,403,General,,
Coin Wars Benefitting THON,Coin Collection,Blue Band ,95,10/9/2023,10/22/2023,O. Richard Bundy Blue Band Building:     ,Approved,100,,General,,
Forensic Science Club Penny Wars Benefitting THON,Coin Collection,Forensic Science Club at Penn State FRNSC Club,729,10/9/2023,10/10/2023,"Thomas Building Room 104: Thomas Building, Shortlidge Rd, University Park, PA 16802:",Approved,20,4.15,General,,
Altoona Texas Roadhouse Ribboning Fundraiser Benefitting THON,Coin Collection,Altoona,165,10/13/2023,10/15/2023,Texas Roadhouse: 1560 OSGOOD DR  ALTOONA PA 16602,Approved,200,858,Commonwealth,,
Tapestry Dance Company Benefitting THON,Coin Collection,Tapestry Dance Company ,142,10/14/2023,10/14/2023,The Student Book Store: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,200,148,General,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,10/15/2023,10/15/2023,Waffle Shop: 1229 N ATHERTON ST  STATE COLLEGE PA 16803,Approved,100,287.42,Greek,,
OGC Penny Wars Benefitting THON,Coin Collection,Oriana Singers  & Pennsylvania State University Glee Club Glee Club,134 & 135,10/16/2023,10/29/2023,Music Building I (during choir rehearsals):     ,Approved,200,230.29,General,,
Rainn Wilson ribboning Benefitting THON,Coin Collection,Altoona,165,10/18/2023,10/18/2023,Penn State Altoona:     ,Approved,100,55,Commonwealth,,
Altoona Texas Roadhouse Ribboning Fundraiser Benefitting THON,Coin Collection,Altoona,165,10/20/2023,10/22/2023,Texas Roadhouse: 1560 OSGOOD DR  ALTOONA PA 16602,Approved,200,566,Commonwealth,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,10/22/2023,10/22/2023,Waffle Shop: 1229 N ATHERTON ST  STATE COLLEGE PA 16803,Canceled,100,,Greek,,
Coin Wars Benefitting THON,Coin Collection,Blue Band ,95,10/23/2023,11/5/2023,O. Richard Bundy Blue Band Building:     ,Approved,100,355.68,General,,
OGC Penny Wars Benefitting THON,Coin Collection,Oriana Singers  & Pennsylvania State University Glee Club Glee Club,134 & 135,10/23/2023,11/5/2023,Music Building I (during choir rehearsals):     ,Canceled,200,,General,,
Altoona Pumpkin Decorating Contest Benefitting THON,Coin Collection,Altoona,165,10/23/2023,10/27/2023,Penn State Altoona:     ,Approved,100,17.8,Commonwealth,,
