fundraiser_name,fundraiser_type,organizations,public_numbers,start_date,end_date,address,status,expected_donation,credited,org_type,,
Chi Phi and Phi Sigma Rho 100 Days Fundraiser Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Chi Phi & Phi Sigma Rho Phi Rho,81 & 160,11/8/2023,11/8/2023,HUB-Robeson Building:     ,Denied,200,,General,,
Volé x Alpha Sigma Phi Beach Towel Sale Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Alpha Sigma Phi & Volé,126 & 34,11/8/2023,11/8/2023,HUB-Robeson Center:     ,Canceled,100,,General,,
World Campus 100 Days Benefitting THON,100 Days 'Til THON Alternative Fundraiser,World Campus,1318,11/8/2023,11/8/2023,HUB-Robeson Center:     ,Denied,200,,Commonwealth,,
Pasta Sale Benefitting THON,Benefit Dinner,Carly Weisfelner and Emily Locker (2024),3085,8/30/2023,8/30/2023,Carly Weisfelner: 131 HIESTER ST Unit 907 STATE COLLEGE PA 16801,Canceled,200,,Independent Couple,,
HEAL x 100 Days Beach Art Benefitting THON,100 Days 'Til THON Alternative Fundraiser,HEAL: Help Every Angel Live ,1540,11/8/2023,11/8/2023,The HUB:     ,Denied,50,,Special Interest,,
Maeve and Sophie Back to School Clothing Sale Benefitting THON,Item Sale,Maeve Riley and Sophie Sclafani (2024),3138,8/31/2023,9/8/2023,,Canceled,250,,Independent Couple,,
100 Days Fundraiser with Atlas Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Atlas ,312,11/8/2023,11/8/2023,HUB Robenson Center:     ,Denied,200,,Special Interest,,
Beaded Bracelets Alexa and Kayla Breisch x Benefitting THON,Item Sale,Alexa Breisch and Kayla Breisch (2024),3108,8/31/2023,9/13/2023,,Denied,100,,Independent Couple,,
TEPandGSS x 100 Days Fundraiser Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Gamma Sigma Sigma  & Tau Epsilon Phi TEP,46 & 2213,11/8/2023,11/8/2023,HUB - Robeson Center:     ,Denied,150,,Greek,,
Penn State Harrisburg x 100 Days Til THON Bowling Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Harrisburg,164,11/8/2023,11/8/2023,Trindle Bowl: 4695 E TRINDLE RD  MECHANICSBURG PA 17050,Approved,100,105,Commonwealth,,
Kappa Kappa Gamma 100 Days Raffle Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Kappa Kappa Gamma,22,11/8/2023,11/8/2023,HUB Robeson Center:     ,Approved,299.99,100,Greek,,
Hotdog Eating Contest Benefitting THON,Benefit Dinner,Maddie Blonder and Olivia Sanders (2024),3090,9/1/2023,9/1/2023,House in downtown State College: 122 E HAMILTON AVE  STATE COLLEGE PA 16801,Approved,100,300,Independent Couple,,
Alpha Epsilon Delta 100 Days Fundraiser Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Alpha Epsilon Delta,65,11/8/2023,11/8/2023,Alumni Hall in the HUB:     ,Denied,100,,General,,
Ella Palmieri x Paige Blankenhorn Benefitting THON,Item Sale,Ella Palmieri and Paige Blankenhorn (2024),3084,9/2/2023,9/2/2023,Family Clothesline: 352 E COLLEGE AVE STE B  STATE COLLEGE PA 16801,Approved,300,,Independent Couple,,
